frame,x,y,w,h,eye_point1,eye_point2
0,953,326,172,228,"(999, 416)","(1105, 422)"
5,948,325,176,228,"(992, 417)","(1102, 421)"
10,937,322,177,240,"(985, 416)","(1095, 422)"
15,928,315,190,250,"(977, 414)","(1093, 419)"
20,924,308,196,258,"(972, 415)","(1095, 418)"
25,916,299,215,292,"(968, 420)","(1101, 421)"
30,894,315,233,308,"(945, 446)","(1089, 443)"
35,870,317,247,341,"(917, 461)","(1081, 455)"
40,844,151,273,295,"(895, 262)","(1061, 247)"
45,1684,71,259,319,"(1734, 209)","(1853, 159)"
50,792,101,322,416,"(842, 263)","(1058, 267)"
55,775,172,303,401,"(830, 345)","(1032, 346)"
60,780,299,268,348,"(831, 445)","(1009, 449)"
65,799,385,231,310,"(847, 516)","(992, 514)"
70,824,442,189,257,"(867, 549)","(985, 541)"
75,853,441,159,222,"(884, 548)","(971, 511)"
80,888,431,120,157,"(914, 482)","(987, 506)"
85,881,461,109,119,"(915, 490)","(969, 521)"
90,898,472,76,102,"(907, 515)","(953, 508)"
95,902,497,65,74,"(927, 514)","(953, 542)"
100,912,490,48,63,"(913, 517)","(938, 516)"
105,910,524,40,48,"(923, 542)","(935, 550)"
110,909,507,41,50,"(915, 531)","(940, 521)"
115,926,503,42,48,"(933, 527)","(957, 515)"
120,932,504,43,48,"(941, 527)","(964, 518)"
125,820,140,301,402,"(874, 320)","(1075, 279)"
130,691,296,276,367,"(754, 452)","(927, 445)"
135,666,296,250,318,"(726, 424)","(883, 433)"
140,763,225,212,279,"(815, 339)","(951, 347)"
145,904,218,181,240,"(948, 313)","(1069, 320)"
150,999,324,94,138,"(1021, 374)","(1082, 375)"
155,1036,347,66,91,"(1047, 383)","(1093, 382)"
160,827,292,63,85,"(834, 324)","(879, 321)"
165,835,288,61,81,"(844, 313)","(884, 313)"
170,824,285,54,69,"(833, 303)","(871, 303)"
175,821,284,47,67,"(830, 305)","(855, 305)"
180,855,246,75,88,"(863, 272)","(915, 271)"
185,982,252,108,136,"(1005, 317)","(1067, 291)"
190,1004,229,143,171,"(1039, 315)","(1117, 281)"
