frame,x,y,w,h,eye_point1,eye_point2
2475,879,254,347,445,"(910, 444)","(1130, 434)"
2480,868,248,353,450,"(905, 444)","(1124, 433)"
2485,861,248,354,451,"(897, 446)","(1118, 434)"
2490,846,251,352,450,"(881, 444)","(1101, 432)"
2495,834,250,351,452,"(867, 444)","(1086, 432)"
2500,845,252,351,461,"(880, 454)","(1097, 440)"
2505,858,242,356,453,"(901, 442)","(1127, 443)"
2510,841,245,353,467,"(879, 443)","(1096, 452)"
2515,852,251,358,458,"(892, 443)","(1120, 453)"
2520,845,254,361,451,"(887, 441)","(1110, 450)"
2525,843,251,365,452,"(886, 443)","(1111, 444)"
2530,847,254,360,452,"(885, 447)","(1110, 444)"
2535,796,316,350,472,"(885, 526)","(1104, 483)"
2540,794,312,351,483,"(884, 528)","(1102, 484)"
2545,788,323,356,469,"(875, 524)","(1096, 480)"
2550,784,322,348,470,"(867, 529)","(1086, 479)"
