frame,x,y,w,h,eye_point1,eye_point2
0,933,440,23,30,"(935, 452)","(952, 452)"
5,1000,427,23,28,"(1003, 437)","(1016, 435)"
10,937,414,23,31,"(939, 428)","(956, 427)"
15,933,378,29,38,"(937, 394)","(957, 395)"
20,897,285,46,65,"(897, 316)","(927, 306)"
25,865,245,59,87,"(875, 277)","(916, 277)"
30,859,262,57,73,"(874, 293)","(908, 291)"
35,850,257,60,80,"(861, 283)","(899, 286)"
40,1051,239,60,71,"(1055, 268)","(1093, 256)"
45,1494,143,231,293,"(1519, 292)","(1650, 241)"
50,865,141,224,306,"(916, 262)","(1060, 265)"
55,839,162,215,301,"(886, 280)","(1028, 286)"
60,832,214,207,310,"(873, 329)","(1012, 334)"
65,835,264,204,275,"(875, 365)","(1012, 367)"
70,836,253,202,292,"(871, 367)","(1008, 350)"
75,848,218,201,286,"(874, 341)","(1014, 314)"
80,790,159,230,285,"(853, 241)","(979, 312)"
85,825,238,63,82,"(837, 261)","(874, 273)"
90,353,207,68,84,"(367, 235)","(412, 239)"
95,1018,251,55,63,"(1037, 263)","(1069, 279)"
100,876,318,40,54,"(878, 336)","(907, 341)"
105,883,330,38,49,"(901, 350)","(914, 354)"
110,872,319,48,56,"(882, 346)","(905, 333)"
115,880,314,44,56,"(887, 342)","(914, 330)"
120,883,312,42,57,"(889, 338)","(916, 329)"
125,877,326,38,52,"(881, 352)","(907, 346)"
130,845,223,219,303,"(911, 340)","(1045, 347)"
135,762,194,224,306,"(832, 308)","(967, 329)"
140,773,168,232,298,"(846, 272)","(981, 300)"
145,818,176,228,304,"(880, 287)","(1023, 311)"
150,920,346,149,201,"(954, 418)","(1052, 428)"
155,979,387,116,160,"(998, 449)","(1078, 448)"
160,1028,381,116,162,"(1044, 444)","(1124, 441)"
165,1018,361,120,155,"(1034, 421)","(1113, 422)"
170,964,362,117,156,"(985, 418)","(1059, 431)"
175,905,411,97,128,"(926, 457)","(987, 472)"
180,854,403,88,115,"(872, 444)","(928, 455)"
185,817,414,79,99,"(835, 447)","(887, 456)"
190,822,423,70,91,"(839, 455)","(883, 462)"
195,856,474,47,62,"(867, 496)","(896, 500)"
200,924,538,38,46,"(924, 553)","(947, 548)"
205,954,528,36,46,"(961, 546)","(983, 541)"
210,955,521,39,47,"(965, 537)","(989, 535)"
215,961,511,38,46,"(967, 531)","(991, 528)"
220,986,390,50,62,"(994, 413)","(1020, 404)"
225,764,156,251,332,"(816, 286)","(984, 239)"
230,772,152,250,331,"(827, 291)","(993, 243)"
235,764,179,241,330,"(818, 322)","(976, 278)"
240,772,228,240,338,"(831, 371)","(987, 330)"
245,785,280,223,295,"(829, 400)","(979, 356)"
250,843,382,207,237,"(881, 486)","(993, 432)"
255,832,225,171,204,"(865, 326)","(932, 277)"
260,619,200,131,168,"(652, 263)","(737, 262)"
265,814,191,141,164,"(841, 257)","(932, 229)"
270,837,230,133,163,"(862, 300)","(947, 271)"
275,866,305,122,152,"(891, 369)","(969, 346)"
280,842,287,112,151,"(866, 350)","(939, 330)"
285,902,282,86,119,"(928, 336)","(977, 323)"
