frame,x,y,w,h,eye_point1,eye_point2
0,800,181,346,478,"(880, 379)","(1107, 382)"
5,800,183,347,474,"(876, 383)","(1109, 386)"
10,794,181,355,487,"(875, 387)","(1109, 388)"
15,797,186,353,490,"(875, 390)","(1111, 393)"
20,800,202,355,486,"(879, 399)","(1118, 402)"
25,799,205,363,510,"(883, 407)","(1125, 411)"
30,803,272,365,518,"(878, 484)","(1123, 473)"
35,772,379,370,448,"(859, 535)","(1100, 556)"
40,1739,208,291,392,"(1780, 340)","(1930, 345)"
45,791,169,270,298,"(837, 265)","(1025, 255)"
50,829,242,226,280,"(871, 344)","(1023, 345)"
55,873,349,165,223,"(904, 431)","(1015, 433)"
60,898,430,119,176,"(921, 495)","(1000, 497)"
65,910,490,90,129,"(928, 539)","(987, 539)"
70,918,522,68,94,"(932, 559)","(978, 556)"
75,922,533,58,73,"(931, 567)","(968, 553)"
80,929,519,51,66,"(933, 546)","(967, 540)"
85,919,523,55,55,"(946, 533)","(966, 557)"
90,918,516,44,56,"(923, 537)","(953, 538)"
95,921,526,44,45,"(940, 533)","(959, 553)"
100,914,515,38,48,"(920, 532)","(946, 535)"
105,920,529,38,46,"(928, 544)","(951, 551)"
110,919,525,37,40,"(927, 546)","(949, 537)"
115,940,526,30,36,"(942, 541)","(962, 531)"
120,939,515,34,43,"(944, 535)","(965, 527)"
125,733,51,340,444,"(808, 250)","(1013, 206)"
130,623,222,292,395,"(696, 363)","(871, 352)"
135,597,283,261,312,"(676, 399)","(828, 412)"
140,783,237,222,280,"(844, 335)","(982, 349)"
145,973,216,179,253,"(1022, 302)","(1134, 313)"
150,1071,288,113,168,"(1099, 350)","(1171, 348)"
155,1063,325,76,104,"(1077, 367)","(1127, 362)"
160,1012,365,60,82,"(1021, 400)","(1061, 397)"
165,968,371,52,70,"(976, 400)","(1010, 399)"
170,926,359,54,68,"(937, 380)","(970, 395)"
175,947,381,60,65,"(974, 393)","(999, 424)"
180,982,314,74,90,"(1003, 342)","(1044, 359)"
185,964,282,91,104,"(981, 332)","(1033, 309)"
190,974,258,108,133,"(993, 328)","(1055, 297)"
195,956,262,134,171,"(979, 353)","(1060, 312)"
200,986,354,189,265,"(1016, 486)","(1136, 437)"
205,971,249,225,350,"(1020, 407)","(1173, 374)"
210,876,100,278,377,"(966, 250)","(1132, 266)"
215,706,595,26,33,"(714, 608)","(731, 613)"
220,691,586,27,35,"(702, 598)","(720, 604)"
225,0,0,0,0,"(0, 0)","(0, 0)"
230,831,547,30,37,"(843, 559)","(862, 565)"
235,922,543,30,40,"(931, 559)","(949, 554)"
240,921,526,30,40,"(930, 541)","(949, 537)"
245,921,495,32,41,"(930, 510)","(950, 508)"
250,915,489,43,56,"(927, 505)","(954, 511)"
255,888,495,64,93,"(909, 521)","(948, 533)"
260,886,434,68,105,"(913, 464)","(950, 476)"
265,1054,262,94,124,"(1086, 296)","(1140, 317)"
270,896,455,76,105,"(913, 490)","(943, 491)"
275,1121,249,154,196,"(1175, 316)","(1261, 339)"
280,1211,200,192,255,"(1275, 290)","(1386, 311)"
285,965,480,133,168,"(1016, 544)","(1038, 524)"
290,1158,295,214,302,"(1208, 425)","(1345, 404)"
295,1108,318,224,288,"(1157, 444)","(1295, 408)"
300,1048,286,243,260,"(1100, 400)","(1236, 358)"
305,908,237,240,301,"(983, 336)","(1124, 352)"
310,868,363,97,127,"(895, 415)","(958, 413)"
315,957,429,66,82,"(970, 462)","(1009, 452)"
320,993,444,55,72,"(1001, 476)","(1034, 464)"
325,986,450,49,63,"(992, 480)","(1022, 467)"
330,961,467,45,61,"(965, 491)","(994, 486)"
335,937,476,41,58,"(942, 497)","(971, 498)"
340,924,474,41,55,"(931, 492)","(960, 495)"
345,926,476,39,51,"(932, 493)","(960, 494)"
350,914,183,160,225,"(939, 251)","(1050, 269)"
355,846,335,199,236,"(874, 441)","(996, 417)"
360,904,227,202,265,"(933, 344)","(1054, 314)"
365,888,320,196,261,"(921, 419)","(1047, 424)"
370,781,270,206,263,"(846, 339)","(962, 399)"
375,1086,363,130,193,"(1085, 436)","(1155, 423)"
380,720,299,214,310,"(769, 410)","(911, 423)"
385,783,312,214,313,"(818, 437)","(960, 416)"
390,774,334,223,325,"(806, 479)","(950, 452)"
395,942,523,33,44,"(949, 542)","(973, 540)"
400,968,516,34,49,"(973, 540)","(998, 532)"
405,986,487,38,44,"(995, 505)","(1021, 501)"
410,982,481,37,45,"(992, 495)","(1016, 501)"
415,979,469,40,51,"(992, 484)","(1017, 490)"
420,974,474,46,56,"(987, 494)","(1014, 501)"
425,972,473,48,57,"(986, 492)","(1015, 502)"
430,967,448,56,67,"(985, 468)","(1016, 479)"
435,965,434,60,72,"(985, 453)","(1019, 465)"
440,962,419,70,79,"(982, 444)","(1020, 457)"
445,951,419,76,92,"(976, 443)","(1021, 451)"
450,952,411,82,95,"(975, 440)","(1024, 451)"
455,948,412,91,118,"(972, 450)","(1028, 463)"
460,946,434,99,134,"(970, 476)","(1035, 488)"
465,943,363,119,159,"(980, 417)","(1049, 431)"
470,945,349,132,170,"(985, 403)","(1067, 419)"
475,941,347,153,200,"(984, 417)","(1078, 432)"
480,943,334,167,225,"(981, 408)","(1094, 418)"
485,936,218,186,266,"(974, 304)","(1102, 307)"
490,956,250,168,261,"(957, 350)","(1080, 323)"
495,883,291,251,324,"(921, 424)","(1073, 397)"
500,847,392,252,340,"(888, 525)","(1060, 504)"
505,858,290,244,332,"(896, 375)","(1077, 396)"
510,908,236,159,224,"(944, 306)","(1047, 329)"
515,961,392,62,76,"(972, 410)","(1014, 414)"
520,967,425,59,66,"(996, 434)","(1019, 455)"
525,969,453,59,66,"(991, 468)","(1016, 489)"
530,953,450,73,90,"(976, 480)","(1017, 491)"
535,945,415,94,129,"(969, 459)","(1030, 465)"
540,932,368,132,179,"(963, 432)","(1050, 434)"
545,896,316,185,259,"(939, 423)","(1060, 419)"
550,848,364,246,306,"(910, 444)","(1068, 476)"
555,802,314,312,401,"(891, 430)","(1081, 480)"
560,764,366,330,437,"(833, 497)","(1043, 510)"
565,709,372,345,435,"(780, 506)","(1002, 513)"
570,690,290,350,472,"(774, 434)","(994, 456)"
575,732,170,359,461,"(822, 322)","(1047, 353)"
580,967,402,38,49,"(979, 418)","(1002, 422)"
585,971,404,40,51,"(981, 423)","(1007, 425)"
590,968,409,41,51,"(978, 426)","(1004, 428)"
595,973,384,44,58,"(986, 402)","(1012, 406)"
600,975,322,54,79,"(991, 343)","(1027, 353)"
605,975,316,60,84,"(991, 337)","(1031, 345)"
610,965,319,61,85,"(982, 343)","(1022, 351)"
615,966,320,63,92,"(985, 346)","(1026, 356)"
620,970,322,66,88,"(990, 351)","(1031, 359)"
625,963,359,69,91,"(979, 387)","(1024, 393)"
630,937,334,83,105,"(957, 364)","(1009, 378)"
635,920,324,95,128,"(942, 358)","(1002, 373)"
640,901,294,113,144,"(932, 339)","(1003, 358)"
645,865,268,137,198,"(902, 330)","(988, 353)"
650,901,272,168,228,"(941, 348)","(1052, 368)"
655,964,223,209,282,"(1014, 320)","(1144, 346)"
660,904,215,249,341,"(962, 329)","(1124, 362)"
665,920,123,265,360,"(979, 251)","(1154, 241)"
670,-24,147,350,453,"(115, 339)","(299, 380)"
675,895,374,50,69,"(899, 401)","(930, 400)"
680,859,348,51,74,"(862, 379)","(894, 378)"
685,943,387,55,66,"(966, 407)","(993, 418)"
690,912,375,50,54,"(934, 387)","(960, 403)"
695,911,373,54,57,"(930, 383)","(962, 400)"
700,905,337,65,71,"(926, 350)","(962, 371)"
705,894,300,75,92,"(917, 323)","(960, 345)"
710,889,294,87,106,"(910, 322)","(964, 338)"
715,891,311,93,129,"(904, 347)","(969, 352)"
720,873,255,115,152,"(890, 311)","(966, 313)"
725,880,384,133,181,"(902, 435)","(998, 445)"
730,867,426,154,203,"(898, 496)","(1004, 499)"
735,851,281,188,267,"(883, 392)","(1006, 366)"
740,802,274,219,301,"(840, 396)","(984, 356)"
745,763,328,255,338,"(804, 476)","(963, 421)"
