frame,x,y,w,h,eye_point1,eye_point2
0,976,425,32,43,"(979, 443)","(1001, 442)"
5,980,418,33,44,"(983, 435)","(1006, 436)"
10,983,410,34,46,"(986, 428)","(1010, 429)"
15,985,399,36,51,"(989, 420)","(1014, 421)"
20,987,390,37,50,"(991, 411)","(1016, 411)"
25,993,379,38,56,"(997, 406)","(1024, 404)"
30,1001,371,41,57,"(1010, 400)","(1035, 395)"
35,1010,353,47,64,"(1016, 384)","(1044, 379)"
40,1035,355,44,58,"(1036, 384)","(1058, 372)"
45,873,340,67,71,"(895, 368)","(912, 364)"
50,886,343,66,87,"(900, 392)","(916, 386)"
55,881,356,93,110,"(896, 403)","(959, 404)"
60,874,365,110,154,"(893, 421)","(965, 422)"
65,859,357,128,171,"(881, 425)","(968, 420)"
70,847,338,149,205,"(872, 425)","(970, 393)"
75,854,279,176,210,"(885, 404)","(974, 333)"
80,856,198,222,219,"(943, 246)","(1019, 318)"
85,782,166,174,200,"(810, 235)","(919, 236)"
90,794,211,165,193,"(828, 271)","(920, 298)"
95,790,224,163,183,"(833, 279)","(921, 314)"
100,794,247,172,181,"(859, 295)","(918, 342)"
105,762,236,156,187,"(794, 308)","(893, 299)"
110,849,194,199,220,"(888, 309)","(982, 244)"
115,920,230,208,248,"(959, 349)","(1067, 285)"
120,863,251,215,253,"(904, 378)","(1024, 323)"
125,787,377,202,274,"(819, 485)","(954, 464)"
130,746,369,222,283,"(789, 476)","(942, 478)"
135,844,334,262,338,"(899, 456)","(1080, 481)"
140,875,314,303,375,"(933, 445)","(1138, 483)"
145,886,271,287,381,"(933, 406)","(1132, 446)"
150,800,302,269,366,"(828, 427)","(999, 461)"
155,723,261,277,400,"(747, 407)","(944, 447)"
160,798,317,299,419,"(833, 475)","(1042, 503)"
165,854,239,258,355,"(890, 361)","(1074, 415)"
170,803,297,263,281,"(874, 362)","(1003, 474)"
175,801,382,278,214,"(944, 421)","(963, 555)"
180,630,173,207,278,"(659, 317)","(797, 268)"
185,589,252,233,266,"(636, 392)","(765, 328)"
190,662,275,251,286,"(718, 430)","(847, 348)"
195,732,290,272,315,"(798, 461)","(938, 367)"
200,829,364,234,292,"(885, 518)","(1029, 445)"
205,870,406,213,260,"(916, 536)","(1059, 492)"
210,1443,50,231,302,"(1528, 164)","(1653, 184)"
215,1406,42,219,288,"(1489, 159)","(1609, 178)"
220,816,179,191,281,"(885, 312)","(995, 285)"
225,785,211,190,271,"(859, 340)","(964, 313)"
230,805,215,184,258,"(878, 341)","(976, 310)"
235,792,202,189,255,"(862, 324)","(969, 296)"
240,773,205,186,265,"(837, 327)","(943, 301)"
245,773,226,184,242,"(838, 343)","(943, 317)"
250,837,320,148,204,"(874, 415)","(954, 383)"
255,887,294,100,132,"(913, 360)","(968, 336)"
260,884,280,81,116,"(903, 339)","(953, 322)"
265,914,300,70,101,"(933, 351)","(976, 334)"
270,934,329,65,92,"(952, 377)","(991, 363)"
275,945,397,56,79,"(960, 435)","(995, 425)"
280,952,412,52,75,"(966, 450)","(996, 437)"
285,955,423,47,65,"(973, 456)","(1001, 446)"
290,967,432,44,64,"(982, 467)","(1004, 456)"
295,1074,441,54,62,"(1090, 466)","(1118, 461)"
300,946,461,43,54,"(961, 492)","(982, 481)"
305,920,465,38,53,"(929, 489)","(950, 485)"
310,902,456,38,44,"(909, 477)","(930, 465)"
315,924,443,43,45,"(930, 466)","(951, 454)"
320,935,439,40,46,"(939, 462)","(961, 451)"
325,819,163,204,257,"(844, 288)","(968, 253)"
330,728,258,203,280,"(757, 378)","(889, 370)"
335,1009,183,175,220,"(1059, 241)","(1161, 283)"
340,716,244,193,262,"(756, 341)","(888, 342)"
345,820,208,190,253,"(856, 307)","(987, 304)"
350,916,245,202,265,"(943, 352)","(1078, 342)"
355,960,235,202,240,"(986, 350)","(1112, 316)"
360,893,160,212,269,"(917, 286)","(1047, 248)"
365,794,233,207,266,"(821, 349)","(952, 336)"
370,712,214,202,253,"(743, 309)","(875, 324)"
375,671,312,207,279,"(704, 422)","(840, 428)"
380,683,198,208,294,"(715, 325)","(855, 321)"
385,707,221,219,289,"(733, 341)","(875, 327)"
390,762,222,223,291,"(787, 345)","(933, 330)"
395,905,241,250,293,"(975, 319)","(1131, 362)"
400,840,410,292,389,"(902, 579)","(1088, 528)"
405,850,183,265,312,"(943, 273)","(1094, 312)"
410,853,173,247,300,"(931, 263)","(1079, 295)"
415,834,151,234,277,"(907, 238)","(1043, 259)"
420,873,236,166,213,"(919, 313)","(1021, 327)"
425,950,329,76,90,"(969, 355)","(1019, 361)"
430,952,317,61,79,"(968, 337)","(1006, 346)"
435,942,325,61,75,"(958, 347)","(997, 355)"
440,940,324,64,78,"(964, 345)","(992, 362)"
445,845,205,195,237,"(907, 283)","(1022, 303)"
450,844,239,197,244,"(907, 324)","(1024, 341)"
455,852,270,197,249,"(914, 359)","(1033, 378)"
460,859,277,196,234,"(923, 347)","(1037, 369)"
465,861,196,198,244,"(921, 266)","(1041, 289)"
470,846,230,205,248,"(904, 306)","(1033, 323)"
475,851,262,206,273,"(902, 363)","(1037, 375)"
480,858,261,209,271,"(909, 354)","(1044, 366)"
485,860,170,208,258,"(907, 266)","(1042, 274)"
490,1162,440,79,101,"(1187, 482)","(1236, 480)"
495,904,268,48,59,"(911, 293)","(941, 290)"
500,898,293,52,62,"(906, 321)","(938, 315)"
505,893,266,50,65,"(900, 276)","(937, 280)"
510,884,249,59,73,"(898, 268)","(935, 276)"
515,902,302,67,80,"(921, 323)","(960, 338)"
520,954,379,80,92,"(984, 402)","(1020, 428)"
525,987,418,88,108,"(1014, 457)","(1061, 472)"
530,996,391,110,138,"(1022, 439)","(1093, 451)"
535,995,360,128,165,"(1022, 416)","(1106, 424)"
540,886,401,84,112,"(899, 451)","(938, 440)"
545,892,326,180,241,"(931, 404)","(1048, 428)"
550,869,295,215,295,"(921, 388)","(1066, 413)"
555,877,306,229,296,"(920, 384)","(1080, 399)"
560,865,270,244,326,"(905, 377)","(1075, 380)"
565,839,254,230,296,"(878, 344)","(1036, 353)"
570,847,209,199,248,"(883, 282)","(1020, 296)"
575,901,207,170,219,"(928, 280)","(1044, 285)"
580,920,271,151,178,"(943, 331)","(1046, 326)"
585,897,316,135,161,"(919, 378)","(1009, 375)"
590,869,362,111,128,"(886, 410)","(962, 406)"
595,865,258,88,112,"(881, 293)","(941, 298)"
600,886,311,71,90,"(898, 338)","(946, 340)"
605,880,320,63,83,"(893, 347)","(934, 351)"
610,875,331,56,70,"(887, 350)","(923, 355)"
615,874,324,51,69,"(886, 346)","(919, 352)"
620,883,337,48,63,"(893, 358)","(924, 360)"
625,884,344,47,56,"(895, 364)","(925, 366)"
630,881,339,45,57,"(890, 358)","(920, 363)"
635,877,351,47,59,"(885, 372)","(915, 376)"
640,878,370,45,55,"(886, 389)","(915, 394)"
645,886,378,46,60,"(892, 399)","(923, 402)"
650,905,383,48,59,"(912, 405)","(945, 408)"
655,920,397,50,60,"(928, 416)","(963, 423)"
660,926,390,58,76,"(934, 418)","(973, 421)"
665,914,370,64,77,"(923, 407)","(959, 396)"
670,910,344,138,178,"(927, 421)","(1020, 414)"
675,813,354,163,210,"(831, 445)","(938, 438)"
680,963,409,126,163,"(1031, 465)","(1091, 470)"
685,886,409,87,89,"(920, 428)","(957, 466)"
690,916,442,97,113,"(945, 469)","(998, 502)"
695,926,428,119,141,"(959, 466)","(1029, 497)"
700,932,376,153,200,"(973, 434)","(1066, 469)"
705,925,352,202,252,"(970, 439)","(1101, 480)"
710,941,385,231,287,"(983, 473)","(1143, 508)"
715,934,225,263,332,"(980, 325)","(1160, 362)"
720,882,259,259,311,"(936, 331)","(1108, 369)"
725,843,468,218,254,"(887, 545)","(1033, 560)"
730,840,281,198,243,"(869, 368)","(1007, 360)"
735,856,282,186,231,"(880, 366)","(1004, 343)"
740,860,332,187,230,"(888, 429)","(1007, 402)"
745,833,420,169,203,"(858, 503)","(973, 482)"
750,732,299,154,189,"(757, 364)","(862, 351)"
755,1169,126,267,353,"(1232, 270)","(1415, 274)"
760,992,251,228,289,"(1039, 361)","(1185, 376)"
765,981,375,193,250,"(1021, 459)","(1151, 470)"
770,991,379,201,266,"(1029, 486)","(1166, 490)"
775,1027,294,236,271,"(1074, 389)","(1233, 386)"
780,1020,218,277,348,"(1071, 378)","(1258, 339)"
785,1008,325,268,317,"(1080, 441)","(1246, 419)"
790,995,360,244,315,"(1073, 467)","(1222, 470)"
795,918,255,231,302,"(994, 378)","(1133, 388)"
800,866,219,207,224,"(934, 349)","(1022, 272)"
805,808,263,215,264,"(872, 372)","(1000, 360)"
810,763,364,217,278,"(822, 450)","(955, 499)"
815,745,361,219,270,"(817, 455)","(955, 472)"
820,783,17,240,305,"(853, 133)","(996, 152)"
825,848,281,187,224,"(884, 354)","(1017, 355)"
830,898,514,150,178,"(928, 579)","(1031, 567)"
835,922,533,138,159,"(950, 591)","(1040, 578)"
840,917,386,145,185,"(944, 468)","(1052, 454)"
845,889,58,191,225,"(925, 154)","(1038, 136)"
850,1008,366,52,57,"(1013, 393)","(1045, 379)"
855,1003,365,59,66,"(1010, 398)","(1044, 383)"
860,1010,340,68,78,"(1016, 377)","(1056, 361)"
865,1043,281,76,91,"(1050, 324)","(1095, 308)"
870,1145,237,92,104,"(1154, 286)","(1208, 267)"
875,678,233,121,146,"(694, 299)","(757, 273)"
880,670,287,131,171,"(687, 367)","(758, 331)"
885,655,313,135,158,"(668, 391)","(745, 358)"
890,458,208,144,183,"(459, 280)","(557, 270)"
895,1257,285,138,176,"(1268, 367)","(1338, 342)"
900,437,366,143,186,"(456, 444)","(510, 426)"
905,137,399,142,173,"(160, 494)","(231, 450)"
910,611,359,153,179,"(628, 450)","(696, 411)"
915,460,338,156,185,"(474, 414)","(561, 395)"
920,425,364,148,199,"(438, 455)","(523, 435)"
925,480,382,150,190,"(495, 470)","(582, 445)"
930,512,311,150,180,"(532, 398)","(612, 365)"
935,1056,332,93,108,"(1060, 390)","(1112, 366)"
940,903,309,66,84,"(902, 340)","(950, 336)"
945,1117,364,57,69,"(1133, 394)","(1157, 394)"
950,1049,397,50,58,"(1062, 423)","(1086, 423)"
955,995,385,51,54,"(1009, 401)","(1034, 410)"
960,951,423,49,71,"(952, 450)","(988, 455)"
965,932,423,57,72,"(938, 452)","(976, 454)"
970,940,413,62,82,"(948, 446)","(989, 449)"
975,924,389,63,84,"(932, 427)","(974, 426)"
980,925,393,65,87,"(935, 428)","(977, 429)"
985,912,396,73,98,"(926, 434)","(973, 436)"
990,885,398,79,108,"(898, 444)","(951, 447)"
995,869,404,80,109,"(880, 448)","(935, 450)"
1000,872,369,83,114,"(885, 418)","(920, 408)"
1005,877,372,91,118,"(895, 412)","(955, 416)"
1010,901,371,91,115,"(919, 414)","(977, 415)"
1015,914,379,86,109,"(930, 422)","(987, 422)"
1020,903,386,86,110,"(917, 432)","(973, 430)"
1025,886,387,93,126,"(900, 439)","(962, 438)"
1030,859,349,115,151,"(878, 404)","(957, 408)"
1035,835,325,146,180,"(860, 393)","(960, 397)"
1040,818,308,180,231,"(849, 399)","(974, 404)"
1045,816,295,219,272,"(852, 412)","(1004, 419)"
1050,806,341,239,306,"(844, 467)","(1011, 471)"
1055,776,350,247,296,"(820, 466)","(991, 468)"
1060,786,353,244,253,"(841, 510)","(944, 403)"
1065,947,208,186,240,"(975, 296)","(1102, 301)"
1070,1026,263,179,187,"(1097, 306)","(1169, 377)"
1075,960,338,147,184,"(991, 397)","(1087, 419)"
1080,899,369,151,190,"(930, 432)","(1031, 453)"
1085,894,291,166,204,"(930, 360)","(1040, 371)"
1090,908,164,191,238,"(947, 256)","(1072, 251)"
1095,951,249,206,256,"(988, 343)","(1126, 339)"
1100,977,384,218,277,"(1018, 492)","(1166, 485)"
