frame,x,y,w,h,eye_point1,eye_point2
0,0,0,0,0,"(0, 0)","(0, 0)"
5,956,321,169,233,"(1000, 416)","(1106, 421)"
10,953,326,171,227,"(997, 416)","(1104, 423)"
15,945,321,176,231,"(992, 417)","(1101, 421)"
20,935,319,182,237,"(982, 416)","(1094, 421)"
25,929,315,186,249,"(978, 414)","(1092, 419)"
30,920,309,196,266,"(972, 415)","(1097, 418)"
35,915,305,213,293,"(967, 423)","(1099, 425)"
40,888,323,231,314,"(938, 455)","(1087, 449)"
45,869,292,249,346,"(901, 426)","(1082, 430)"
50,834,166,269,269,"(896, 229)","(1033, 245)"
55,0,0,0,0,"(0, 0)","(0, 0)"
60,780,127,322,425,"(839, 281)","(1053, 281)"
65,770,195,302,381,"(830, 363)","(1027, 367)"
70,784,317,258,354,"(833, 462)","(1005, 465)"
75,802,400,224,299,"(850, 527)","(991, 524)"
80,830,442,182,252,"(870, 549)","(984, 535)"
85,854,434,158,219,"(885, 542)","(972, 505)"
90,885,443,128,140,"(925, 478)","(986, 524)"
95,888,459,92,113,"(909, 492)","(966, 507)"
100,903,471,70,99,"(912, 509)","(955, 511)"
105,905,494,67,74,"(927, 521)","(948, 540)"
110,915,494,45,60,"(919, 516)","(941, 519)"
115,908,521,39,48,"(916, 537)","(931, 542)"
120,916,507,40,49,"(919, 530)","(944, 519)"
125,931,503,40,49,"(936, 526)","(957, 516)"
130,892,52,321,423,"(953, 256)","(1146, 196)"
135,790,181,298,411,"(846, 359)","(1039, 326)"
140,679,303,266,356,"(739, 454)","(908, 452)"
145,675,282,243,315,"(734, 408)","(886, 417)"
150,791,230,203,261,"(840, 330)","(975, 337)"
155,934,225,171,233,"(974, 318)","(1086, 324)"
160,1009,342,83,120,"(1024, 385)","(1079, 386)"
165,1044,345,67,89,"(1055, 379)","(1100, 378)"
170,1067,338,65,90,"(1076, 372)","(1119, 368)"
175,1050,326,64,86,"(1058, 359)","(1102, 363)"
180,1007,349,63,80,"(1020, 382)","(1060, 387)"
185,989,371,72,89,"(1020, 405)","(1051, 419)"
190,991,275,93,106,"(1009, 311)","(1064, 322)"
195,983,249,118,144,"(1009, 321)","(1074, 295)"
200,1018,220,144,177,"(1052, 310)","(1131, 275)"
205,1055,249,182,246,"(1089, 363)","(1202, 320)"
210,1045,331,235,328,"(1100, 471)","(1242, 430)"
215,1055,268,295,401,"(1146, 416)","(1321, 439)"
220,1014,97,352,457,"(1140, 247)","(1336, 300)"
225,937,530,26,33,"(947, 539)","(959, 541)"
230,936,514,28,37,"(947, 522)","(959, 526)"
235,934,492,30,40,"(947, 502)","(961, 508)"
240,936,466,33,42,"(951, 482)","(965, 487)"
245,928,444,39,50,"(944, 457)","(963, 463)"
250,915,434,41,50,"(928, 450)","(952, 456)"
255,896,422,43,49,"(912, 432)","(935, 438)"
260,828,419,66,75,"(851, 439)","(888, 448)"
265,974,245,125,149,"(989, 308)","(1060, 280)"
270,174,278,146,172,"(235, 332)","(305, 364)"
275,913,171,144,180,"(946, 250)","(1033, 228)"
280,929,204,132,186,"(956, 275)","(1043, 256)"
285,940,198,178,261,"(973, 297)","(1093, 277)"
290,964,224,231,306,"(1018, 334)","(1163, 303)"
295,1003,298,244,344,"(1062, 421)","(1227, 397)"
300,994,398,289,351,"(1096, 555)","(1252, 499)"
305,868,361,294,362,"(980, 519)","(1133, 475)"
